category,region,warehouse,date,demand,price
Clothing,East,S003,2022-01-01,0.6589327146171694,0.45294133397595526
Clothing,East,S003,2022-01-02,0.40835266821345706,0.3681152435269232
Clothing,East,S003,2022-01-03,0.6032482598607889,0.636516989316411
Clothing,East,S003,2022-01-04,0.4593967517401392,0.40362010335502185
Clothing,East,S003,2022-01-06,0.9605568445475638,0.4818325434439179
Clothing,East,S003,2022-01-07,0.5382830626450116,0.6093662141537474
Clothing,East,S003,2022-01-09,0.5104408352668214,0.6321257396845799
Clothing,East,S003,2022-01-10,0.4733178654292343,0.5472460974107693
Clothing,East,S003,2022-01-11,0.6078886310904872,0.6397836506278952
Clothing,East,S003,2022-01-12,0.33874709976798145,0.5240046054569311
Clothing,East,S003,2022-01-14,0.38979118329466356,0.5469247864620987
Clothing,East,S003,2022-01-15,0.30162412993039445,0.5689881382708116
Clothing,East,S003,2022-01-16,0.38979118329466356,0.5169893164109568
Clothing,East,S003,2022-01-17,0.3433874709976798,0.5283423032639838
Clothing,East,S003,2022-01-18,0.5568445475638051,0.5840897528583288
Clothing,East,S003,2022-01-19,0.728538283062645,0.6899081586205049
Clothing,East,S003,2022-01-21,0.8213457076566125,0.4844298069456717
Clothing,East,S003,2022-01-22,0.9048723897911832,0.4518702974803867
Clothing,East,S003,2022-01-23,0.12993039443155452,0.4145982274345999
Clothing,East,S003,2022-01-24,0.617169373549884,0.6789835863657055
Clothing,East,S003,2022-01-25,0.7888631090487239,0.49875492007390154
Clothing,East,S003,2022-01-26,1.062645011600928,0.5107237529118805
Clothing,East,S003,2022-01-28,0.9466357308584687,0.5025303237207808
Clothing,East,S003,2022-01-29,0.42691415313225056,0.5950143251131282
Clothing,East,S003,2022-01-30,1.0672853828306264,0.5281816477896484
Clothing,East,S003,2022-01-31,0.8120649651972158,0.4434894369025625
Clothing,East,S003,2022-02-01,0.5614849187935035,0.3893753179639597
Clothing,East,S003,2022-02-03,0.46403712296983757,0.5159718317401666
Clothing,East,S003,2022-02-04,0.9280742459396751,0.48151123249524735
Clothing,East,S003,2022-02-05,0.5243619489559165,0.37909336760650125
Clothing,East,S003,2022-02-07,1.3503480278422275,0.5065734864915523
Clothing,East,S003,2022-02-08,0.6867749419953596,0.3820387179693148
Clothing,East,S003,2022-02-09,0.6450116009280742,0.40195999678689054
Clothing,East,S003,2022-02-10,0.31554524361948955,0.5149007952445981
