supplier_id,supplier_name,category_supplied,city,region_based,contact_email,lead_time_days,min_order_qty,reliability_score
SUP-CAT1-0001,UrbanStitch Trading #1,Clothing,Seattle,East,contact1@northwindapparel.com,0.8518518518518519,0.43128205128205127,0.2631578947368418
SUP-CAT1-0002,Wovenwear Partners #2,Clothing,Seattle,North,contact2@wovenwear.com,0.8148148148148148,0.40564102564102567,0.6315789473684212
SUP-CAT1-0003,Wovenwear LLC #3,Clothing,Osaka,East,contact3@urbanstitch.com,0.037037037037037035,0.7143589743589743,0.5263157894736843
SUP-CAT1-0004,Threadline Ltd. #4,Clothing,Rotterdam,East,contact4@wovenwear.com,1.0,0.2733333333333333,0.10526315789473638
SUP-CAT1-0005,Northwind Apparel Supply Chain #5,Clothing,Denver,East,contact5@wovenwear.com,0.7777777777777778,0.6051282051282051,0.15789473684210487
SUP-CAT1-0006,Threadline LLC #6,Clothing,Newark,West,contact6@northwindapparel.com,0.8148148148148148,0.7892307692307692,0.5263157894736843
SUP-CAT1-0007,UrbanStitch Partners #7,Clothing,Rotterdam,North,contact7@fabricraft.com,1.0,0.3158974358974359,0.6315789473684212
SUP-CAT1-0008,Threadline Supply Chain #8,Clothing,Shenzhen,South,contact8@urbanstitch.com,0.5925925925925926,0.938974358974359,0.15789473684210487
SUP-CAT1-0009,Wovenwear Partners #9,Clothing,Mumbai,Central,contact9@urbanstitch.com,0.7777777777777778,0.08923076923076922,0.10526315789473638
SUP-CAT1-0010,Wovenwear Ltd. #10,Clothing,Denver,East,contact10@wovenwear.com,0.9629629629629629,0.33282051282051284,0.6315789473684212
SUP-CAT1-0011,Threadline Distributors #11,Clothing,Mumbai,Central,contact11@fabricraft.com,0.3333333333333333,0.0841025641025641,0.47368421052631576
SUP-CAT1-0012,Fabricraft Inc. #12,Clothing,Hanoi,Central,contact12@fabricraft.com,0.1111111111111111,0.0917948717948718,0.21052631578947334
SUP-CAT1-0013,Fabricraft Partners #13,Clothing,Atlanta,North,contact13@northwindapparel.com,0.5925925925925926,0.10358974358974359,0.894736842105263
SUP-CAT1-0014,Wovenwear Distributors #14,Clothing,Denver,East,contact14@northwindapparel.com,0.1111111111111111,0.028717948717948718,0.7894736842105261
SUP-CAT1-0015,Threadline Trading #15,Clothing,Osaka,North,contact15@threadline.com,0.6296296296296297,0.4625641025641026,0.3157894736842103
SUP-CAT1-0016,Fabricraft Group #16,Clothing,Portland,East,contact16@wovenwear.com,0.4074074074074074,0.05641025641025641,0.7368421052631576
SUP-CAT1-0017,Northwind Apparel Trading #17,Clothing,Dallas,East,contact17@threadline.com,0.9259259259259259,0.1,0.05263157894736848
SUP-CAT1-0018,Fabricraft Partners #18,Clothing,Phoenix,Central,contact18@threadline.com,0.9259259259259259,0.6056410256410256,0.05263157894736848
SUP-CAT1-0019,Threadline Ltd. #19,Clothing,Portland,North,contact19@threadline.com,0.14814814814814814,0.06717948717948719,0.6315789473684212
SUP-CAT1-0020,Fabricraft Group #20,Clothing,Newark,Central,contact20@wovenwear.com,0.4444444444444444,0.8758974358974358,0.894736842105263
SUP-CAT1-0021,Fabricraft Trading #21,Clothing,Portland,Central,contact21@urbanstitch.com,0.5555555555555556,0.0010256410256410256,0.4210526315789473
SUP-CAT1-0022,Fabricraft Inc. #22,Clothing,Dallas,South,contact22@northwindapparel.com,0.0,0.9635897435897436,0.6842105263157897
SUP-CAT1-0023,UrbanStitch Trading #23,Clothing,Chicago,Central,contact23@threadline.com,0.8518518518518519,0.8682051282051282,0.05263157894736848
SUP-CAT1-0024,Fabricraft Wholesale #24,Clothing,Phoenix,North,contact24@wovenwear.com,0.9629629629629629,0.12102564102564102,0.5263157894736843
SUP-CAT1-0025,Wovenwear Inc. #25,Clothing,Columbus,Central,contact25@northwindapparel.com,0.8518518518518519,0.7005128205128205,0.6315789473684212
