warehouse,sku,stock,reorder_level,last_updated
WH001,SKU-0001,0.4523266022827041,0.2945205479452055,2024-01-30 00:00:00
WH001,SKU-0002,0.10535557506584724,0.10273972602739725,2024-01-30 00:00:00
WH001,SKU-0003,0.5239683933274802,0.958904109589041,2024-01-30 00:00:00
WH001,SKU-0004,0.2528533801580334,0.21232876712328766,2024-01-30 00:00:00
WH001,SKU-0006,0.5267778753292361,0.4041095890410959,2024-01-30 00:00:00
WH001,SKU-0007,0.5829675153643546,0.9863013698630136,2024-01-30 00:00:00
WH001,SKU-0008,0.14187884108867427,0.00684931506849315,2024-01-30 00:00:00
WH001,SKU-0009,0.09411764705882353,0.13013698630136986,2024-01-30 00:00:00
WH001,SKU-0010,0.6419666374012292,0.5068493150684932,2024-01-30 00:00:00
WH001,SKU-0011,0.20087796312554873,0.2191780821917808,2024-01-30 00:00:00
WH001,SKU-0012,0.47058823529411764,0.3767123287671233,2024-01-30 00:00:00
WH001,SKU-0013,0.04214223002633889,0.0547945205479452,2024-01-30 00:00:00
WH001,SKU-0014,0.8414398595259,0.6232876712328768,2024-01-30 00:00:00
WH001,SKU-0015,0.0266900790166813,0.04794520547945205,2024-01-30 00:00:00
WH001,SKU-0016,0.23037752414398596,0.5684931506849316,2024-01-30 00:00:00
WH001,SKU-0017,0.17559262510974538,0.0136986301369863,2024-01-30 00:00:00
WH001,SKU-0018,0.09692712906057946,0.136986301369863,2024-01-30 00:00:00
WH001,SKU-0019,0.06883230904302019,0.0,2024-01-30 00:00:00
WH001,SKU-0020,0.382089552238806,0.5342465753424658,2024-01-30 00:00:00
WH002,SKU-0001,0.7136084284460052,0.5958904109589042,2024-01-30 00:00:00
WH002,SKU-0002,0.6377524143985953,0.3013698630136986,2024-01-30 00:00:00
WH002,SKU-0003,0.4593503072870939,0.5753424657534246,2024-01-30 00:00:00
WH002,SKU-0004,0.0955223880597015,0.6301369863013698,2024-01-30 00:00:00
WH002,SKU-0005,0.6897278314310799,0.8287671232876712,2024-01-30 00:00:00
WH002,SKU-0006,0.051975417032484636,0.0410958904109589,2024-01-30 00:00:00
WH002,SKU-0007,0.495873573309921,0.541095890410959,2024-01-30 00:00:00
WH002,SKU-0008,0.033713784021071114,0.07534246575342465,2024-01-30 00:00:00
WH002,SKU-0009,0.12923617208077262,0.3698630136986301,2024-01-30 00:00:00
WH002,SKU-0010,0.11518876207199298,0.0821917808219178,2024-01-30 00:00:00
WH002,SKU-0011,0.016856892010535557,0.5616438356164384,2024-01-30 00:00:00
WH002,SKU-0012,0.5085162423178227,0.7671232876712328,2024-01-30 00:00:00
WH002,SKU-0013,0.08990342405618965,0.5958904109589042,2024-01-30 00:00:00
WH002,SKU-0014,0.8639157155399473,0.6917808219178082,2024-01-30 00:00:00
WH002,SKU-0016,0.037928007023705,0.2534246575342466,2024-01-30 00:00:00
WH002,SKU-0017,0.20087796312554873,0.5342465753424658,2024-01-30 00:00:00
WH002,SKU-0018,0.0,0.04794520547945205,2024-01-30 00:00:00
WH002,SKU-0019,0.39051799824407374,0.7945205479452054,2024-01-30 00:00:00
WH002,SKU-0020,0.380684811237928,0.3424657534246575,2024-01-30 00:00:00
WH003,SKU-0001,0.2050921861281826,0.21232876712328766,2024-01-30 00:00:00
WH003,SKU-0002,0.3736611062335382,0.684931506849315,2024-01-30 00:00:00
WH003,SKU-0003,0.04776119402985075,0.08904109589041095,2024-01-30 00:00:00
WH003,SKU-0004,0.6897278314310799,0.5958904109589042,2024-01-30 00:00:00
WH003,SKU-0005,1.0,0.7465753424657534,2024-01-30 00:00:00
WH003,SKU-0006,0.1334503950834065,0.0684931506849315,2024-01-30 00:00:00
WH003,SKU-0007,0.17699736611062336,0.9383561643835616,2024-01-30 00:00:00
WH003,SKU-0008,0.153116769095698,0.3082191780821918,2024-01-30 00:00:00
WH003,SKU-0009,0.08709394205443372,0.0547945205479452,2024-01-30 00:00:00
WH003,SKU-0010,0.07023705004389816,0.0958904109589041,2024-01-30 00:00:00
WH003,SKU-0011,0.11518876207199298,0.2808219178082192,2024-01-30 00:00:00
WH003,SKU-0012,0.3160667251975417,0.18493150684931506,2024-01-30 00:00:00
WH003,SKU-0013,1.0,0.9383561643835616,2024-01-30 00:00:00
WH003,SKU-0014,0.4059701492537313,0.6027397260273972,2024-01-30 00:00:00
WH003,SKU-0015,0.49446883230904304,0.8698630136986302,2024-01-30 00:00:00
WH003,SKU-0016,0.14047410008779632,0.3287671232876712,2024-01-30 00:00:00
WH003,SKU-0017,0.2500438981562774,0.547945205479452,2024-01-30 00:00:00
WH003,SKU-0018,0.8302019315188762,0.5753424657534246,2024-01-30 00:00:00
WH003,SKU-0019,0.06602282704126426,0.08904109589041095,2024-01-30 00:00:00
WH003,SKU-0020,0.07304653204565409,0.773972602739726,2024-01-30 00:00:00
WH004,SKU-0001,0.39473222124670765,0.9452054794520548,2024-01-30 00:00:00
WH004,SKU-0002,0.29780509218612816,0.3356164383561644,2024-01-30 00:00:00
WH004,SKU-0003,0.12923617208077262,0.410958904109589,2024-01-30 00:00:00
WH004,SKU-0004,0.5309920983318701,0.678082191780822,2024-01-30 00:00:00
WH004,SKU-0005,0.17278314310798945,0.0684931506849315,2024-01-30 00:00:00
WH004,SKU-0006,0.1025460930640913,0.3287671232876712,2024-01-30 00:00:00
WH004,SKU-0007,0.7206321334503951,0.910958904109589,2024-01-30 00:00:00
WH004,SKU-0008,0.04354697102721686,0.0136986301369863,2024-01-30 00:00:00
WH004,SKU-0009,0.5773485513608428,0.5753424657534246,2024-01-30 00:00:00
WH004,SKU-0010,0.26128182616330115,0.8561643835616438,2024-01-30 00:00:00
WH004,SKU-0011,0.7515364354697103,0.8082191780821918,2024-01-30 00:00:00
WH004,SKU-0012,0.19666374012291485,0.0136986301369863,2024-01-30 00:00:00
WH004,SKU-0013,0.4607550482879719,0.6643835616438356,2024-01-30 00:00:00
WH004,SKU-0014,0.4467076382791923,0.1506849315068493,2024-01-30 00:00:00
WH004,SKU-0015,0.32449517120280946,0.4041095890410959,2024-01-30 00:00:00
WH004,SKU-0016,0.12923617208077262,0.2808219178082192,2024-01-30 00:00:00
WH004,SKU-0017,0.14749780509218613,0.0958904109589041,2024-01-30 00:00:00
WH004,SKU-0018,0.05057067603160667,0.0136986301369863,2024-01-30 00:00:00
WH004,SKU-0019,0.22194907813871817,0.0821917808219178,2024-01-30 00:00:00
WH004,SKU-0020,0.025285338015803335,0.1506849315068493,2024-01-30 00:00:00
WH005,SKU-0001,0.2893766461808604,0.3013698630136986,2024-01-30 00:00:00
WH005,SKU-0002,0.1334503950834065,0.4520547945205479,2024-01-30 00:00:00
WH005,SKU-0003,0.21211589113257243,0.08904109589041095,2024-01-30 00:00:00
WH005,SKU-0004,0.11237928007023705,0.11643835616438356,2024-01-30 00:00:00
WH005,SKU-0005,0.31887620719929766,0.3424657534246575,2024-01-30 00:00:00
WH005,SKU-0006,0.28797190517998245,1.0,2024-01-30 00:00:00
WH005,SKU-0007,0.28094820017559263,0.3561643835616438,2024-01-30 00:00:00
WH005,SKU-0008,0.13064091308165057,0.08904109589041095,2024-01-30 00:00:00
WH005,SKU-0009,0.10535557506584724,0.6027397260273972,2024-01-30 00:00:00
WH005,SKU-0010,0.07585601404741,0.589041095890411,2024-01-30 00:00:00
WH005,SKU-0011,0.29218612818261636,0.6232876712328768,2024-01-30 00:00:00
WH005,SKU-0012,0.44108867427568044,0.5684931506849316,2024-01-30 00:00:00
WH005,SKU-0013,1.0,0.6164383561643836,2024-01-30 00:00:00
WH005,SKU-0014,0.14047410008779632,0.363013698630137,2024-01-30 00:00:00
WH005,SKU-0015,0.6447761194029851,0.3493150684931507,2024-01-30 00:00:00
WH005,SKU-0016,0.24161545215100966,0.4863013698630137,2024-01-30 00:00:00
WH005,SKU-0017,0.1067603160667252,0.06164383561643835,2024-01-30 00:00:00
WH005,SKU-0018,0.191044776119403,0.0684931506849315,2024-01-30 00:00:00
WH005,SKU-0019,0.08990342405618965,0.15753424657534246,2024-01-30 00:00:00
WH005,SKU-0020,0.0913081650570676,0.06164383561643835,2024-01-30 00:00:00
