product_record_id,sku,category,store_id,region,yearmonth,source,avg_price,avg_competitor_pricing,avg_discount,total_units_sold,total_units_ordered,avg_inventory_level,records,supplier_id
0.0,P0001,Clothing,S001,East,2022-02,retail_store_inventory,0.7987447505653238,0.8374459088957156,0.5,0.3878020713463751,0.20368744512730466,0.5369504209541628,0.0,SUP-CAT1-0945
2.4677343730720825e-05,P0001,Clothing,S001,East,2022-03,retail_store_inventory,0.13549310074299695,0.13186667987976083,0.5,0.16915995397008055,0.28797190517998245,0.43966323666978485,0.0,SUP-CAT1-0626
4.935468746144165e-05,P0001,Clothing,S001,East,2022-05,retail_store_inventory,0.2823388250496101,0.3183474823550138,0.25,0.7928653624856157,0.57243195785777,0.3414405986903648,0.6,SUP-CAT1-0685
7.403203119216247e-05,P0001,Clothing,S001,East,2022-06,retail_store_inventory,0.23775901056809276,0.24276858366641343,0.25,0.12543153049482164,0.17734855136084285,0.15528531337698784,0.0,SUP-CAT1-0898
9.87093749228833e-05,P0001,Clothing,S001,East,2022-07,retail_store_inventory,0.7597028012367899,0.7920809522236536,0.5,0.10126582278481013,0.14223002633889376,0.695977549111319,0.0,SUP-CAT1-0579
0.00012338671865360412,P0001,Clothing,S001,East,2022-08,retail_store_inventory,0.4813327795468181,0.4967242537354518,0.5,0.31070195627157654,0.41264266900790164,0.5304022450888681,0.2,SUP-CAT1-0776
0.00014806406238432494,P0001,Clothing,S001,East,2022-09,retail_store_inventory,0.24191240943283035,0.26029795527367616,0.4165,0.48216340621403914,0.6022827041264267,0.5014031805425632,0.4,SUP-CAT1-0834
0.00017274140611504577,P0001,Clothing,S001,East,2022-10,retail_store_inventory,0.49305459412063324,0.5095849987337451,0.5,0.4062140391254315,0.17383669885864794,0.7296538821328344,0.0,SUP-CAT1-0226
0.0001974187498457666,P0001,Clothing,S001,East,2022-11,retail_store_inventory,0.13973879736028427,0.1517744084387628,0.0,0.1714614499424626,0.21246707638279191,0.30121608980355474,0.0,SUP-CAT1-0056
0.00022209609357648743,P0001,Clothing,S001,East,2023-01,retail_store_inventory,0.19161013429322996,0.22277276781290256,0.375,0.6087456846950517,0.16330114135206322,0.5210477081384471,0.2,SUP-CAT1-0301
0.00024677343730720823,P0001,Clothing,S001,East,2023-02,retail_store_inventory,0.28095435876136426,0.32099010119027954,0.5,0.2289988492520138,0.19315188762071994,0.4303086997193639,0.0,SUP-CAT1-0286
0.00027145078103792906,P0001,Clothing,S001,East,2023-03,retail_store_inventory,0.22723706677742406,0.25007982911064863,0.5,0.04602991944764097,0.5829675153643546,0.2862488306828812,0.2,SUP-CAT1-0874
