date,warehouse,warehouse_id,sku,category,region,stock,units_sold,units_ordered,price,discount,weather_condition,promotion,competitor_pricing,seasonality,epidemic,demand
2022-01-01,S001,WH001,P0001,Electronics,North,0.23897058823529413,0.5151515151515151,0.8330578512396695,0.3635633384207567,0.2857142857142857,Snowy,0.0,0.42147241662431095,Winter,0,0.5150812064965197
2022-01-01,S001,WH001,P0004,Electronics,North,0.17034313725490197,0.22727272727272727,0.3371900826446281,0.44340910916539483,0.5714285714285714,Snowy,0.0,0.418657387496579,Winter,0,0.22273781902552203
2022-01-01,S001,WH001,P0005,Groceries,North,0.18627450980392157,0.3282828282828283,0.8958677685950414,0.2655099472514526,0.0,Snowy,0.0,0.2437085402249417,Winter,0,0.2552204176334107
2022-01-01,S001,WH001,P0006,Toys,North,0.25612745098039214,0.30303030303030304,0.0,0.16440410206977807,0.0,Snowy,0.0,0.18313328380967275,Winter,0,0.23665893271461716
2022-01-01,S001,WH001,P0008,Electronics,North,0.29901960784313725,0.21212121212121213,0.0,0.17650681446970307,0.2857142857142857,Snowy,0.0,0.20836428562119613,Winter,0,0.26450116009280744
2022-01-01,S001,WH001,P0009,Clothing,North,0.1409313725490196,0.4444444444444444,0.45950413223140496,0.4785926580448229,0.2857142857142857,Snowy,0.0,0.5412154148909829,Winter,0,0.580046403712297
2022-01-01,S001,WH001,P0010,Furniture,North,0.23529411764705882,0.35353535353535354,0.9917355371900827,0.581144402495515,0.5714285714285714,Snowy,0.0,0.6521484145912343,Winter,0,0.30162412993039445
2022-01-01,S001,WH001,P0011,Furniture,North,0.26348039215686275,0.25757575757575757,0.46942148760330576,0.8113636972179827,0.0,Snowy,0.0,0.9596121515424015,Winter,0,0.27842227378190254
2022-01-01,S001,WH001,P0012,Groceries,North,0.3541666666666667,0.6111111111111112,0.7107438016528925,0.42654028436018965,0.0,Snowy,0.0,0.4542622929454849,Winter,0,0.46403712296983757
2022-01-01,S001,WH001,P0013,Toys,North,0.34191176470588236,0.5707070707070707,0.0,0.15139100864861973,0.2857142857142857,Snowy,0.0,0.17844156859678617,Winter,0,0.4918793503480278
2022-01-01,S001,WH001,P0015,Toys,North,0.14583333333333334,0.2777777777777778,0.24462809917355371,0.051195544488178445,0.2857142857142857,Snowy,0.0,0.04540537722693567,Winter,0,0.27842227378190254
2022-01-01,S001,WH001,P0017,Toys,North,0.1568627450980392,0.29797979797979796,0.0,0.08771788898706726,0.0,Snowy,0.0,0.09305235172225047,Winter,0,0.3294663573085847
2022-01-01,S001,WH001,P0018,Groceries,North,0.3443627450980392,0.3939393939393939,0.0,0.2654563954266742,0.2857142857142857,Snowy,0.0,0.25658469197586375,Winter,0,0.2877030162412993
2022-01-01,S001,WH001,P0019,Furniture,North,0.3443627450980392,0.30808080808080807,0.0,0.48587570621468934,0.5714285714285714,Snowy,0.0,0.5117618693878615,Winter,0,0.2505800464037123
2022-01-01,S001,WH001,P0020,Furniture,North,0.32598039215686275,0.18181818181818182,0.0,0.5121696521808982,0.2857142857142857,Snowy,0.0,0.5753085454379586,Winter,0,0.18097447795823665
2022-01-01,S002,WH002,P0006,Clothing,South,0.2426470588235294,0.398989898989899,0.0,0.31686614721396633,0.2857142857142857,Cloudy,0.0,0.2736312572493516,Winter,0,0.38979118329466356
2022-01-01,S002,WH002,P0007,Toys,South,0.2855392156862745,0.4494949494949495,0.7471074380165289,0.11053096634267814,0.5714285714285714,Cloudy,0.0,0.1313680259608242,Winter,0,0.41299303944315546
2022-01-01,S002,WH002,P0008,Groceries,South,0.15196078431372548,0.6262626262626263,0.32727272727272727,0.11138779553913299,0.2857142857142857,Cloudy,0.0,0.12985625105889406,Winter,0,0.5011600928074246
2022-01-01,S002,WH002,P0009,Groceries,South,0.16053921568627452,0.6616161616161617,0.859504132231405,0.3213645004953544,0.5714285714285714,Cloudy,0.0,0.33259047842462636,Winter,0,0.654292343387471
2022-01-01,S002,WH002,P0010,Groceries,South,0.2965686274509804,0.5959595959595959,0.6413223140495867,0.6016011995608751,0.2857142857142857,Cloudy,0.0,0.5290690855065099,Winter,0,0.8863109048723898
