date,sku,demand,revenue,units,day_of_week,month,quarter,day_of_week_sin,month_cos,promo_flag,lag_7d,rolling_mean_30,rolling_std_14,price_delta_pct
2025-08-25 14:54:13,SKU-032,0.5154151692831473,0.5448481654555504,0.5416666666666666,0,8,3,0.0,-0.5000000000000004,0,,,,0.0
2026-02-13 14:54:13,SKU-320,0.019860034045772645,0.00720441026925906,0.020833333333333332,4,2,1,-0.433883739117558,0.5000000000000001,1,,,,-96.1467889908257
2026-02-25 14:54:13,SKU-114,0.22110837904293548,0.24187567551552638,0.25,2,2,1,0.9749279121818236,0.5000000000000001,0,,,,1013.3333333333335
2026-05-15 14:54:13,SKU-215,0.4565916398713826,0.24476285191253272,0.5208333333333334,4,5,2,-0.433883739117558,-0.8660254037844387,0,,,,106.50128314798977
2025-09-04 14:54:13,SKU-074,0.6633251371288065,0.08791424134284498,0.75,3,9,3,0.43388373911755823,-1.8369701987210297e-16,0,,,,45.27754763877381
2026-01-23 14:54:13,SKU-117,0.693398902969548,0.4019427319136805,0.8333333333333334,4,1,1,-0.433883739117558,0.8660254037844387,0,,,,4.533789563729695
2025-12-08 14:54:13,SKU-424,0.5558918101002458,0.4525163762576866,0.6666666666666666,0,12,4,0.0,1.0,0,,,,-19.830878341516655
2026-06-19 14:54:13,SKU-229,0.02004917722716096,0.016186011051801442,0.020833333333333332,4,6,2,-0.433883739117558,-1.0,0,0.5154151692831473,,,-96.39333106498809
2025-12-25 14:54:13,SKU-318,0.06506525439757896,0.0025386436289773044,0.0625,3,12,4,0.43388373911755823,1.0,0,0.019860034045772645,,,224.52830188679238
2026-06-12 14:54:13,SKU-117,0.9056175524872329,0.470656876955102,0.9791666666666666,4,6,2,-0.433883739117558,-1.0,0,0.22110837904293548,,,1291.8604651162793
2026-03-01 14:54:13,SKU-442,0.3839606582182712,0.4278475348771889,0.4166666666666667,6,3,1,-0.7818314824680299,6.123233995736766e-17,0,0.4565916398713826,,,-57.60233918128655
2026-01-09 14:54:13,SKU-183,0.17344429733308112,0.147612258928586,0.1875,4,1,1,-0.433883739117558,0.8660254037844387,1,0.6633251371288065,,,-54.82758620689656
2025-09-21 14:54:13,SKU-274,0.8547380366937772,0.24683445230081785,0.9791666666666666,6,9,3,-0.7818314824680299,-1.8369701987210297e-16,0,0.693398902969548,,,392.80261723009824
2025-10-31 14:54:13,SKU-045,0.29638736523548326,0.07991851705139413,0.3333333333333333,4,10,4,-0.433883739117558,0.5000000000000001,0,0.5558918101002458,,0.29748249437520147,-65.32418676698384
2026-01-14 14:54:13,SKU-433,0.5110648761112162,0.06788830434609164,0.625,2,1,1,0.9749279121818236,0.8660254037844387,0,0.02004917722716096,,0.2973729827551083,72.43139757498405
2025-09-26 14:54:13,SKU-404,0.723850955173066,0.7446465576790238,0.875,4,9,3,-0.433883739117558,-1.8369701987210297e-16,0,0.06506525439757896,,0.2845233221651531,41.63582531458179
2025-10-28 14:54:13,SKU-205,0.4900699829771136,0.6009955346280369,0.5416666666666666,1,10,4,0.7818314824680298,0.5000000000000001,0,0.9056175524872329,,0.27565545371513983,-32.296838254507456
2026-04-14 14:54:13,SKU-485,0.312653678834878,0.3039145082246968,0.375,1,4,2,0.7818314824680298,-0.4999999999999998,0,0.3839606582182712,,0.2794643900057344,-36.20223851794674
2026-03-15 14:54:13,SKU-026,0.459239644410819,0.17566471427661604,0.5208333333333334,6,3,1,-0.7818314824680299,6.123233995736766e-17,0,0.17344429733308112,,0.2741556821626035,46.88445251058682
2026-07-14 14:54:13,SKU-092,0.5869112918479289,0.638452775792883,0.6458333333333334,1,7,3,0.7818314824680298,-0.8660254037844388,0,0.8547380366937772,,0.26861489276113254,27.800658978583193
2026-06-04 14:54:13,SKU-450,0.34726688102893893,0.06413516166064899,0.375,3,6,2,0.43388373911755823,-1.0,0,0.29638736523548326,,0.26824132512102367,-40.83145343216243
2025-10-25 14:54:13,SKU-417,0.8749763571023264,0.23118313810599267,1.0,5,10,4,-0.9749279121818236,0.5000000000000001,0,0.5110648761112162,,0.2630673801700146,151.96078431372544
2026-08-08 14:54:13,SKU-131,0.974465670512578,0.7885420902307946,1.0,5,8,3,-0.9749279121818236,-0.5000000000000004,0,0.723850955173066,,0.2599484878840763,11.370514483354977
2026-02-26 14:54:13,SKU-355,0.7240400983544543,0.4907625985614042,0.7291666666666666,3,2,1,0.43388373911755823,0.5000000000000001,0,0.4900699829771136,,0.24572842687207888,-25.698757763975166
2025-09-25 14:54:13,SKU-263,0.860790618498203,0.5781468088139132,0.9375,3,9,3,0.43388373911755823,-1.8369701987210297e-16,0,0.312653678834878,,0.25372046102633256,18.887147335423204
2026-02-15 14:54:13,SKU-408,0.0001891431813883111,0.0024434619895155564,0.0,6,2,1,-0.7818314824680299,0.5000000000000001,0,0.459239644410819,,0.27836638900266836,-99.9780268072951
2025-12-06 14:54:13,SKU-266,0.27879704936637034,0.22417748949560962,0.3125,5,12,4,-0.9749279121818236,1.0,0,0.5869112918479289,,0.2760137958999127,147299.99999999988
2026-01-14 14:54:13,SKU-200,0.6994514847739739,0.029862306227795326,0.7916666666666666,2,1,1,0.9749279121818236,0.8660254037844387,0,0.34726688102893893,,0.2705733916673099,150.88195386702847
2026-01-05 14:54:13,SKU-400,0.29544164932854167,0.37198151143311126,0.3125,0,1,1,0.0,0.8660254037844387,0,0.8749763571023264,,0.2795767489792951,-57.760951865873444
2026-06-05 14:54:13,SKU-334,0.4456213353508606,0.36530853198418023,0.5208333333333334,4,6,2,-0.433883739117558,-1.0,0,0.974465670512578,0.4803228043629027,0.27573766198115013,50.832266325224104
2026-01-18 14:54:13,SKU-199,0.42822016266313595,0.2902055526822209,0.5208333333333334,6,1,1,-0.7818314824680299,0.8660254037844387,0,0.7240400983544543,0.4774163041422357,0.27683355078976274,-3.9049235993208975
2025-10-12 14:54:13,SKU-212,0.045016077170418,0.04472603901374092,0.041666666666666664,6,10,4,-0.7818314824680299,0.5000000000000001,0,0.860790618498203,0.47825483891305715,0.3005236150753058,-89.48763250883393
2025-08-12 14:54:13,SKU-253,0.26404388121808203,0.0819350613933239,0.2708333333333333,1,8,3,0.7818314824680298,-0.5000000000000004,0,0.0001891431813883111,0.4796860223188954,0.30708928039254657,486.55462184873943
2025-12-28 14:54:13,SKU-049,0.4772082466427085,0.015741830067646623,0.5208333333333334,6,12,4,-0.7818314824680299,1.0,1,0.27879704936637034,0.4803732425446062,0.30575468554846763,80.730659025788
2025-10-27 14:54:13,SKU-269,0.4533762057877814,0.1503874569262256,0.4791666666666667,0,10,4,0.0,0.5000000000000001,1,0.6994514847739739,0.4733749448332388,0.303526878431684,-4.994054696789529
2026-05-19 14:54:13,SKU-236,0.35691318327974275,0.049846251324786116,0.4166666666666667,1,5,2,0.7818314824680298,-0.8660254037844387,0,0.29544164932854167,0.4621587541769119,0.28354444116614347,-21.27659574468086
2025-10-15 14:54:13,SKU-484,0.8532248912426706,0.1626910835566486,0.8541666666666666,2,10,4,0.9749279121818236,0.5000000000000001,0,0.4456213353508606,0.4720698568816594,0.26771179811153245,139.0567037625861
2026-03-03 14:54:13,SKU-079,0.408170985435975,0.13495636691682175,0.4583333333333333,1,3,1,0.7818314824680298,6.123233995736766e-17,0,0.42822016266313595,0.48500725048861987,0.2550897787452219,-52.1613832853026
2025-12-18 14:54:13,SKU-304,0.3883109513902024,0.36145367558597946,0.3958333333333333,3,12,4,0.43388373911755823,1.0,0,0.045016077170418,0.49578210705504067,0.22114545904944297,-4.865616311399446
2026-02-09 14:54:13,SKU-046,0.21902780404766406,0.03856582731857692,0.22916666666666666,0,2,1,0.0,0.5000000000000001,0,0.26404388121808203,0.472895782107055,0.19839570553212826,-43.594739405747696
